-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Latitude  -0.9144   Longitude -89.6156 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 9.95 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,TS,ALLSKY_SFC_SW_DWN
-0.91439,-89.61559,2018,01,01,              9.65,   23.27,              6.07
-0.91439,-89.61559,2018,01,02,             10.20,   23.24,              4.46
-0.91439,-89.61559,2018,01,03,              9.85,   23.17,              5.51
-0.91439,-89.61559,2018,01,04,              9.71,   23.36,              4.84
-0.91439,-89.61559,2018,01,05,              9.01,   23.44,              6.99
-0.91439,-89.61559,2018,01,06,              9.59,   23.49,              5.52
-0.91439,-89.61559,2018,01,07,              9.93,   23.60,              5.69
-0.91439,-89.61559,2018,01,08,              9.79,   23.58,              6.39
-0.91439,-89.61559,2018,01,09,              9.55,   23.60,              6.69
-0.91439,-89.61559,2018,01,10,              9.14,   23.49,              7.02
-0.91439,-89.61559,2018,01,11,              9.05,   23.33,              7.00
-0.91439,-89.61559,2018,01,12,              9.13,   23.37,              6.91
-0.91439,-89.61559,2018,01,13,              9.25,   23.51,              6.97
-0.91439,-89.61559,2018,01,14,              9.30,   23.73,              6.88
-0.91439,-89.61559,2018,01,15,              9.46,   23.91,              6.59
-0.91439,-89.61559,2018,01,16,              9.52,   24.30,              6.70
-0.91439,-89.61559,2018,01,17,              9.41,   24.59,              6.95
-0.91439,-89.61559,2018,01,18,             10.00,   24.83,              5.71
-0.91439,-89.61559,2018,01,19,              9.45,   25.08,              6.76
-0.91439,-89.61559,2018,01,20,              9.74,   25.23,              6.97
-0.91439,-89.61559,2018,01,21,              9.85,   25.29,              6.35
-0.91439,-89.61559,2018,01,22,              9.94,   25.27,              6.73
-0.91439,-89.61559,2018,01,23,             10.32,   25.09,              6.58
-0.91439,-89.61559,2018,01,24,              9.91,   25.07,              6.97
-0.91439,-89.61559,2018,01,25,              9.85,   25.02,              7.04
-0.91439,-89.61559,2018,01,26,              9.81,   25.00,              7.05
-0.91439,-89.61559,2018,01,27,              9.89,   25.08,              7.09
-0.91439,-89.61559,2018,01,28,             10.05,   25.27,              5.43
-0.91439,-89.61559,2018,01,29,              9.94,   25.42,              6.04
-0.91439,-89.61559,2018,01,30,             10.21,   25.36,              6.34
-0.91439,-89.61559,2018,01,31,             10.19,   25.24,              6.32
-0.91439,-89.61559,2018,02,01,              9.95,   25.11,              6.72
-0.91439,-89.61559,2018,02,02,              9.56,   25.18,              6.98
-0.91439,-89.61559,2018,02,03,             10.30,   25.13,              4.74
-0.91439,-89.61559,2018,02,04,             10.06,   25.03,              6.72
-0.91439,-89.61559,2018,02,05,              9.96,   25.02,              6.43
-0.91439,-89.61559,2018,02,06,              9.52,   25.05,              7.07
-0.91439,-89.61559,2018,02,07,              9.55,   25.10,              7.11
-0.91439,-89.61559,2018,02,08,              9.49,   25.16,-999
-0.91439,-89.61559,2018,02,09,              9.54,   25.17,              6.80
-0.91439,-89.61559,2018,02,10,              9.75,   25.12,              6.82
-0.91439,-89.61559,2018,02,11,              9.53,   24.94,              6.92
-0.91439,-89.61559,2018,02,12,              9.96,   24.93,              6.52
-0.91439,-89.61559,2018,02,13,             10.25,   25.13,              5.71
-0.91439,-89.61559,2018,02,14,             10.18,   25.22,              6.61
-0.91439,-89.61559,2018,02,15,             10.57,   25.23,              3.95
-0.91439,-89.61559,2018,02,16,              9.90,   25.05,              7.10
-0.91439,-89.61559,2018,02,17,             10.01,   25.43,              6.85
-0.91439,-89.61559,2018,02,18,              9.91,   25.86,              7.10
-0.91439,-89.61559,2018,02,19,             10.42,   26.45,              4.93
-0.91439,-89.61559,2018,02,20,             10.37,   26.66,              5.32
-0.91439,-89.61559,2018,02,21,             10.18,   26.85,              6.07
-0.91439,-89.61559,2018,02,22,             10.36,   27.21,              4.30
-0.91439,-89.61559,2018,02,23,             10.02,   27.57,              6.86
-0.91439,-89.61559,2018,02,24,             10.21,   27.75,              6.62
-0.91439,-89.61559,2018,02,25,             10.38,   27.69,              3.66
-0.91439,-89.61559,2018,02,26,             10.29,   27.58,              4.73
-0.91439,-89.61559,2018,02,27,              9.78,   27.61,              7.05
-0.91439,-89.61559,2018,02,28,              9.80,   27.33,              7.29
-0.91439,-89.61559,2018,03,01,              9.55,   27.05,              7.25
-0.91439,-89.61559,2018,03,02,              9.53,   26.83,              7.23
-0.91439,-89.61559,2018,03,03,              9.48,   26.91,              7.24
-0.91439,-89.61559,2018,03,04,              9.77,   26.98,              7.09
-0.91439,-89.61559,2018,03,05,              9.98,   27.15,              7.13
-0.91439,-89.61559,2018,03,06,              9.75,   27.06,              7.18
-0.91439,-89.61559,2018,03,07,              9.78,   26.85,              6.99
-0.91439,-89.61559,2018,03,08,              9.51,   26.55,              7.34
-0.91439,-89.61559,2018,03,09,              9.50,   26.28,              7.33
-0.91439,-89.61559,2018,03,10,              9.65,   26.23,              7.30
-0.91439,-89.61559,2018,03,11,              9.73,   26.20,              7.25
-0.91439,-89.61559,2018,03,12,              9.52,   26.51,              7.29
-0.91439,-89.61559,2018,03,13,              9.83,   26.69,              6.71
-0.91439,-89.61559,2018,03,14,              9.89,   27.13,              6.88
-0.91439,-89.61559,2018,03,15,              9.94,   27.50,-999
-0.91439,-89.61559,2018,03,16,             10.06,   27.62,              7.05
-0.91439,-89.61559,2018,03,17,              9.83,   27.51,              7.16
-0.91439,-89.61559,2018,03,18,             10.04,   27.46,              7.06
-0.91439,-89.61559,2018,03,19,             10.59,   27.37,              5.71
-0.91439,-89.61559,2018,03,20,             10.17,   27.50,              6.43
-0.91439,-89.61559,2018,03,21,             10.00,   27.31,              7.10
-0.91439,-89.61559,2018,03,22,              9.91,   27.33,              6.50
-0.91439,-89.61559,2018,03,23,              9.84,   27.16,              7.20
-0.91439,-89.61559,2018,03,24,              9.72,   26.68,              7.18
-0.91439,-89.61559,2018,03,25,              9.64,   26.26,              7.19
-0.91439,-89.61559,2018,03,26,              9.65,   26.04,              6.98
-0.91439,-89.61559,2018,03,27,              9.21,   25.86,              7.29
-0.91439,-89.61559,2018,03,28,              9.46,   25.67,              7.17
-0.91439,-89.61559,2018,03,29,              9.83,   25.45,              5.52
-0.91439,-89.61559,2018,03,30,              9.40,   25.36,-999
-0.91439,-89.61559,2018,03,31,              9.31,   25.43,              7.26
-0.91439,-89.61559,2018,04,01,             10.05,   25.11,              6.63
-0.91439,-89.61559,2018,04,02,              9.68,   25.00,              7.13
-0.91439,-89.61559,2018,04,03,              9.36,   24.77,              7.22
-0.91439,-89.61559,2018,04,04,              9.41,   24.83,              7.11
-0.91439,-89.61559,2018,04,05,              9.43,   24.95,              7.11
-0.91439,-89.61559,2018,04,06,              9.34,   25.38,              7.17
-0.91439,-89.61559,2018,04,07,              9.36,   25.47,              6.98
-0.91439,-89.61559,2018,04,08,              9.39,   25.47,              7.13
-0.91439,-89.61559,2018,04,09,              9.22,   25.47,              7.14
-0.91439,-89.61559,2018,04,10,              9.37,   25.41,              7.14
-0.91439,-89.61559,2018,04,11,              9.27,   25.14,              7.09
-0.91439,-89.61559,2018,04,12,              9.14,   25.05,              7.21
-0.91439,-89.61559,2018,04,13,              9.66,   24.83,              5.95
-0.91439,-89.61559,2018,04,14,              9.85,   24.62,              5.47
-0.91439,-89.61559,2018,04,15,              9.14,   24.48,              7.13
-0.91439,-89.61559,2018,04,16,              9.32,   24.38,              6.56
-0.91439,-89.61559,2018,04,17,              9.42,   24.39,              6.85
-0.91439,-89.61559,2018,04,18,              9.50,   24.72,              6.90
-0.91439,-89.61559,2018,04,19,              9.97,   25.06,              6.66
-0.91439,-89.61559,2018,04,20,              9.65,   25.14,              6.88
-0.91439,-89.61559,2018,04,21,              9.97,   25.40,              5.79
-0.91439,-89.61559,2018,04,22,             10.06,   25.68,              5.87
-0.91439,-89.61559,2018,04,23,              9.84,   25.52,              5.87
-0.91439,-89.61559,2018,04,24,              9.62,   25.45,              6.64
-0.91439,-89.61559,2018,04,25,              9.55,   25.52,              6.44
-0.91439,-89.61559,2018,04,26,              9.95,   25.49,              6.01
-0.91439,-89.61559,2018,04,27,              9.72,   25.49,              6.30
-0.91439,-89.61559,2018,04,28,              9.71,   25.27,              6.66
-0.91439,-89.61559,2018,04,29,              9.65,   25.41,              6.60
-0.91439,-89.61559,2018,04,30,              9.60,   25.62,              6.58
-0.91439,-89.61559,2018,05,01,              9.71,   25.87,              6.64
-0.91439,-89.61559,2018,05,02,              9.95,   26.13,              5.35
-0.91439,-89.61559,2018,05,03,              9.94,   26.34,              6.71
-0.91439,-89.61559,2018,05,04,              9.90,   26.24,              6.21
-0.91439,-89.61559,2018,05,05,             10.05,   26.02,              6.07
-0.91439,-89.61559,2018,05,06,              9.80,   25.95,              6.35
-0.91439,-89.61559,2018,05,07,              9.71,   25.75,              6.56
-0.91439,-89.61559,2018,05,08,              9.93,   25.67,              6.43
-0.91439,-89.61559,2018,05,09,              9.81,   25.58,              6.33
