YEAR,MO,DY,ALLSKY_SFC_SW_DWN,,,-BEGIN HEADER-
18,1,1,6.07,,,NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
18,1,2,4.46,,,Dates (month/day/year): 01/01/2018 through 12/31/2018 
18,1,3,5.51,,,Location: Latitude  -0.9144   Longitude -89.6156 
18,1,4,4.84,,,Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 9.95 meters   Site = na 
18,1,5,6.99,,,Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
18,1,6,5.52,,,Value for missing model data cannot be computed or out of model availability range: -999 
18,1,7,5.69,,,Parameter(s): 
18,1,8,6.39,,,ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
18,1,9,6.69,,,
18,1,10,7.02,,,
18,1,11,7,,,
18,1,12,6.91,,,
18,1,13,6.97,,,
18,1,14,6.88,,,
18,1,15,6.59,,,
18,1,16,6.7,,,
18,1,17,6.95,,,
18,1,18,5.71,,,
18,1,19,6.76,,,
18,1,20,6.97,,,
18,1,21,6.35,,,
18,1,22,6.73,,,
18,1,23,6.58,,,
18,1,24,6.97,,,
18,1,25,7.04,,,
18,1,26,7.05,,,
18,1,27,7.09,,,
18,1,28,5.43,,,
18,1,29,6.04,,,
18,1,30,6.34,,,
18,1,31,6.32,,,
18,2,1,6.72,,,
18,2,2,6.98,,,
18,2,3,4.74,,,
18,2,4,6.72,,,
18,2,5,6.43,,,
18,2,6,7.07,,,
18,2,7,7.11,,,
18,2,8,,,,
18,2,9,6.8,,,
18,2,10,6.82,,,
18,2,11,6.92,,,
18,2,12,6.52,,,
18,2,13,5.71,,,
18,2,14,6.61,,,
18,2,15,3.95,,,
18,2,16,7.1,,,
18,2,17,6.85,,,
18,2,18,7.1,,,
18,2,19,4.93,,,
18,2,20,5.32,,,
18,2,21,6.07,,,
18,2,22,4.3,,,
18,2,23,6.86,,,
18,2,24,6.62,,,
18,2,25,3.66,,,
18,2,26,4.73,,,
18,2,27,7.05,,,
18,2,28,7.29,,,
18,3,1,7.25,,,
18,3,2,7.23,,,
18,3,3,7.24,,,
18,3,4,7.09,,,
18,3,5,7.13,,,
18,3,6,7.18,,,
18,3,7,6.99,,,
18,3,8,7.34,,,
18,3,9,7.33,,,
18,3,10,7.3,,,
18,3,11,7.25,,,
18,3,12,7.29,,,
18,3,13,6.71,,,
18,3,14,6.88,,,
18,3,15,,,,
18,3,16,7.05,,,
18,3,17,7.16,,,
18,3,18,7.06,,,
18,3,19,5.71,,,
18,3,20,6.43,,,
18,3,21,7.1,,,
18,3,22,6.5,,,
18,3,23,7.2,,,
18,3,24,7.18,,,
18,3,25,7.19,,,
18,3,26,6.98,,,
18,3,27,7.29,,,
18,3,28,7.17,,,
18,3,29,5.52,,,
18,3,30,,,,
18,3,31,7.26,,,
18,4,1,6.63,,,
18,4,2,7.13,,,
18,4,3,7.22,,,
18,4,4,7.11,,,
18,4,5,7.11,,,
18,4,6,7.17,,,
18,4,7,6.98,,,
18,4,8,7.13,,,
18,4,9,7.14,,,
18,4,10,7.14,,,
18,4,11,7.09,,,
18,4,12,7.21,,,
18,4,13,5.95,,,
18,4,14,5.47,,,
18,4,15,7.13,,,
18,4,16,6.56,,,
18,4,17,6.85,,,
18,4,18,6.9,,,
18,4,19,6.66,,,
18,4,20,6.88,,,
18,4,21,5.79,,,
18,4,22,5.87,,,
18,4,23,5.87,,,
18,4,24,6.64,,,
18,4,25,6.44,,,
18,4,26,6.01,,,
18,4,27,6.3,,,
18,4,28,6.66,,,
18,4,29,6.6,,,
18,4,30,6.58,,,
18,5,1,6.64,,,
18,5,2,5.35,,,
18,5,3,6.71,,,
18,5,4,6.21,,,
18,5,5,6.07,,,
18,5,6,6.35,,,
18,5,7,6.56,,,
18,5,8,6.43,,,
18,5,9,6.33,,,
18,5,10,4.16,,,
18,5,11,6.26,,,
18,5,12,6.62,,,
18,5,13,6.39,,,
18,5,14,6.49,,,
18,5,15,6.58,,,
18,5,16,6.21,,,
18,5,17,5.6,,,
18,5,18,6.2,,,
18,5,19,4,,,
18,5,20,6.4,,,
18,5,21,5.63,,,
18,5,22,5.81,,,
18,5,23,6.19,,,
18,5,24,4.82,,,
18,5,25,4.71,,,
18,5,26,6.2,,,
18,5,27,6.3,,,
18,5,28,6.33,,,
18,5,29,6.01,,,
18,5,30,6.2,,,
18,5,31,3.82,,,
18,6,1,6.41,,,
18,6,2,4.22,,,
18,6,3,5.48,,,
18,6,4,4.26,,,
18,6,5,5.98,,,
18,6,6,5.88,,,
18,6,7,5.32,,,
18,6,8,5.83,,,
18,6,9,5.51,,,
18,6,10,4.57,,,
18,6,11,4.86,,,
18,6,12,4.51,,,
18,6,13,4.83,,,
18,6,14,4.26,,,
18,6,15,4.41,,,
18,6,16,5.02,,,
18,6,17,4.84,,,
18,6,18,5.35,,,
18,6,19,3.88,,,
18,6,20,5.56,,,
18,6,21,5.29,,,
18,6,22,4.92,,,
18,6,23,3.98,,,
18,6,24,4.46,,,
18,6,25,4.26,,,
18,6,26,4.54,,,
18,6,27,5.51,,,
18,6,28,3.68,,,
18,6,29,4.73,,,
18,6,30,2.54,,,
18,7,1,3.75,,,
18,7,2,5.05,,,
18,7,3,4.41,,,
18,7,4,5.45,,,
18,7,5,6.1,,,
18,7,6,5.3,,,
18,7,7,2.86,,,
18,7,8,3.96,,,
18,7,9,5.99,,,
18,7,10,5.43,,,
18,7,11,5.72,,,
18,7,12,4.85,,,
18,7,13,4.98,,,
18,7,14,4.91,,,
18,7,15,4.62,,,
18,7,16,5.09,,,
18,7,17,4.46,,,
18,7,18,5.88,,,
18,7,19,5.57,,,
18,7,20,5.77,,,
18,7,21,5.1,,,
18,7,22,,,,
18,7,23,6.16,,,
18,7,24,5.38,,,
18,7,25,3.8,,,
18,7,26,4.88,,,
18,7,27,6.14,,,
18,7,28,5.77,,,
18,7,29,,,,
18,7,30,3.05,,,
18,7,31,4.91,,,
18,8,1,2.94,,,
18,8,2,4.64,,,
18,8,3,6.38,,,
18,8,4,5.2,,,
18,8,5,,,,
18,8,6,3.43,,,
18,8,7,6.13,,,
18,8,8,3.82,,,
18,8,9,4.07,,,
18,8,10,3.82,,,
18,8,11,3.72,,,
18,8,12,5.33,,,
18,8,13,5.84,,,
18,8,14,5.07,,,
18,8,15,6.48,,,
18,8,16,6.26,,,
18,8,17,5.73,,,
18,8,18,6.28,,,
18,8,19,3.56,,,
18,8,20,5.44,,,
18,8,21,6.27,,,
18,8,22,5.81,,,
18,8,23,4.09,,,
18,8,24,5.46,,,
18,8,25,4.95,,,
18,8,26,5.81,,,
18,8,27,6.05,,,
18,8,28,6,,,
18,8,29,5.84,,,
18,8,30,3.81,,,
18,8,31,4.7,,,
18,9,1,5.68,,,
18,9,2,5.01,,,
18,9,3,5.99,,,
18,9,4,5.95,,,
18,9,5,5.4,,,
18,9,6,5.4,,,
18,9,7,5.1,,,
18,9,8,6.05,,,
18,9,9,5.45,,,
18,9,10,4.47,,,
18,9,11,3.88,,,
18,9,12,5.2,,,
18,9,13,4.45,,,
18,9,14,5.5,,,
18,9,15,5.57,,,
18,9,16,6.64,,,
18,9,17,6.62,,,
18,9,18,,,,
18,9,19,4.91,,,
18,9,20,3.98,,,
18,9,21,5.78,,,
18,9,22,5.92,,,
18,9,23,3.67,,,
18,9,24,4.78,,,
18,9,25,5.42,,,
18,9,26,5.58,,,
18,9,27,3.73,,,
18,9,28,5.83,,,
18,9,29,5.76,,,
18,9,30,2.99,,,
18,10,1,2.52,,,
18,10,2,5.78,,,
18,10,3,6.25,,,
18,10,4,7.23,,,
18,10,5,7.35,,,
18,10,6,6.77,,,
18,10,7,7.07,,,
18,10,8,5.93,,,
18,10,9,6.92,,,
18,10,10,6.16,,,
18,10,11,5.88,,,
18,10,12,5.4,,,
18,10,13,6.53,,,
18,10,14,4.37,,,
18,10,15,7.2,,,
18,10,16,7.32,,,
18,10,17,7.11,,,
18,10,18,7.15,,,
18,10,19,6.24,,,
18,10,20,7.19,,,
18,10,21,6.76,,,
18,10,22,5.65,,,
18,10,23,4.25,,,
18,10,24,4.14,,,
18,10,25,7.02,,,
18,10,26,7.24,,,
18,10,27,7.16,,,
18,10,28,7.01,,,
18,10,29,7.18,,,
18,10,30,4.54,,,
18,10,31,5.85,,,
18,11,1,6.43,,,
18,11,2,6.06,,,
18,11,3,6.57,,,
18,11,4,6.5,,,
18,11,5,5.9,,,
18,11,6,6.78,,,
18,11,7,6.59,,,
18,11,8,5.91,,,
18,11,9,6.01,,,
18,11,10,6.75,,,
18,11,11,6.58,,,
18,11,12,6.35,,,
18,11,13,5.55,,,
18,11,14,6.08,,,
18,11,15,5.35,,,
18,11,16,5.82,,,
18,11,17,4.39,,,
18,11,18,5.58,,,
18,11,19,6.42,,,
18,11,20,6.12,,,
18,11,21,6.61,,,
18,11,22,6.03,,,
18,11,23,5.62,,,
18,11,24,5.23,,,
18,11,25,4.58,,,
18,11,26,6.6,,,
18,11,27,6.49,,,
18,11,28,4.35,,,
18,11,29,5.88,,,
18,11,30,6.36,,,
18,12,1,5.7,,,
18,12,2,4.69,,,
18,12,3,4.86,,,
18,12,4,4.68,,,
18,12,5,4.31,,,
18,12,6,6.13,,,
18,12,7,5.87,,,
18,12,8,7.04,,,
18,12,9,6.06,,,
18,12,10,5.77,,,
18,12,11,6.75,,,
18,12,12,3.62,,,
18,12,13,5.46,,,
18,12,14,4.88,,,
18,12,15,4.48,,,
18,12,16,4.59,,,
18,12,17,5.97,,,
18,12,18,6.12,,,
18,12,19,5.84,,,
18,12,20,4.05,,,
18,12,21,5.51,,,
18,12,22,4.31,,,
18,12,23,6.34,,,
18,12,24,6.39,,,
18,12,25,5.02,,,
18,12,26,5.05,,,
18,12,27,5.91,,,
18,12,28,6.3,,,
18,12,29,4.79,,,
18,12,30,5.51,,,
18,12,31,6.24,,,
